adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote
0000073124-26-000016,ProceedsFromRepaymentsOfShortTermDebtMaturingInThreeMonthsOrLess,us-gaap/2025,20251231,4,USD,,,566800000.0,
0000073124-26-000016,ProfessionalFees,us-gaap/2025,20251231,4,USD,,,988500000.0,
0000073124-26-000016,PropertyPlantAndEquipmentNet,us-gaap/2025,20251231,0,USD,PropertyPlantAndEquipmentByType=Building;,,87800000.0,
0000073124-26-000016,PropertyPlantAndEquipmentNet,us-gaap/2025,20251231,0,USD,PropertyPlantAndEquipmentByType=Equipment;,,176700000.0,
0000073124-26-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2025,20231231,4,USD,BusinessSegments=AssetServicingSegment;ConsolidationItems=OperatingSegments;,,2461900000.0,
0000073124-26-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2025,20231231,4,USD,ProductOrService=SecuritiesCommissionandTrading;,,115900000.0,
0000073124-26-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2025,20241231,4,USD,BusinessSegments=WealthManagementSegment;ConsolidationItems=OperatingSegments;,,2095000000.0,
0000073124-26-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2025,20241231,4,USD,ConsolidationItems=CorporateAndReconcilingItems;,,0.0,
0000073124-26-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2025,20241231,4,USD,ProductOrService=SecuritiesCommissionandTrading;,,143700000.0,
0000073124-26-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2025,20251231,4,USD,ConsolidationItems=CorporateAndReconcilingItems;,,0.0,
0000073124-26-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2025,20251231,4,USD,ProductOrService=InvestmentManagementandAdvisory;,,2659700000.0,
0000073124-26-000016,SalariesWagesAndIncentives,0000073124-26-000016,20251231,4,USD,BusinessSegments=WealthManagementSegment;ConsolidationItems=OperatingSegments;,,577400000.0,
0000073124-26-000016,SalariesWagesAndIncentives,0000073124-26-000016,20251231,4,USD,ConsolidationItems=CorporateAndReconcilingItems;,,1665400000.0,
